rank,title,artist,album
69,빨간 맛 (Red Flavor),Red Velvet (레드벨벳),The Red Summer - Summer Mini Album
70,갈 수가 없어,벤,이번 생은 처음이라 (tvN 월화드라마) OST - Part.8
71,눈 떠보니 이별이더라,포맨 (4MEN),REMEMBER ME
72,그 사람을 아나요,임창정,그 사람을 아나요
73,My My My!,Troye Sivan(트로이 시반),"Dance To This
"
74,팔레트 (Feat. G-DRAGON),아이유(IU),Palette
75,에너제틱 (Energetic),Wanna One(워너원),1X1=1(TO BE ONE)
76,러브스토리 (Feat. 크러쉬),SURAN (수란),러브스토리 (Love Story)
77,종이비행기 (Hello) (feat. pH-1),윤하(Younha/ユンナ),종이비행기 (Hello)
78,빈차 (Feat. 오혁),에픽하이 (EPIK HIGH),WE'VE DONE SOMETHING WONDERFUL
79,가을 안부,먼데이 키즈(Monday Kiz),가을 안부
80,Santa Tell Me,Ariana Grande(아리아나 그란데),Santa Tell Me
81,Too Good At Goodbyes,Sam Smith(샘 스미스),The Thrill Of It All (Special Edition)
82,비,폴킴(Paul Kim),비
83,Rewrite The Stars,Zac Efron(잭 에프론),위대한 쇼맨 (The Greatest Showman) OST
84,Perhaps Love (사랑인가요) (Prod.By 박근태),에릭남(Eric Nam),Your BGM Vol.1
85,가을 아침,아이유(IU),꽃갈피 둘
86,남이 될 수 있을까,볼빨간사춘기,남이 될 수 있을까
87,폰서트,10CM,4.0
88,매일 듣는 노래 (A Daily Song),황치열,Be Ordinary
89,The Greatest Show,Hugh Jackman(휴 잭맨),위대한 쇼맨 (The Greatest Showman) OST
90,잠 못 드는 밤 비는 내리고,아이유(IU),꽃갈피 둘
91,Lip & Hip,현아,Lip & Hip
92,Closer (feat. Halsey),The Chainsmokers(체인스모커스),Collage EP
93,사랑하지 않은 것처럼,버즈,'Be One' - Buzz The 1st Mini Album
94,What Lovers Do (feat. SZA),Maroon 5(마룬 파이브),Red Pill Blues [Deluxe Edition]
95,너였다면,정승환,또 오해영 (tvN 월화드라마) OST - Part.5
96,내 편이 돼줘,Crush,내 편이 돼줘
97,Something Just Like This,The Chainsmokers(체인스모커스),Memories...Do Not Open
98,"텐데... (Timeless) (Sung by 재현, 도영, 태일)",NCT U,텐데... (Timeless) - SM STATION
99,This Christmas,태연 (TAEYEON),This Christmas – Winter is Coming
100,헤어질 수 밖에,김나영,헤어질 수 밖에
